,rlon,rlat,time,TOT_PR,year,month
1737,-2.66,-0.96,0,0.003106549,1999,6
1738,-2.64,-0.96,0,0.0045943456,1999,6
1739,-2.62,-0.96,0,0.0050767623,1999,6
1740,-2.6,-0.96,0,0.008393597,1999,6
1741,-2.58,-0.96,0,0.028806983,1999,6
1742,-2.56,-0.96,0,0.019661048,1999,6
1743,-2.54,-0.96,0,0.0032900118,1999,6
1744,-2.52,-0.96,0,0.0020799509,1999,6
1872,-2.84,-0.94,0,0.0050832336,1999,6
1873,-2.82,-0.94,0,0.005766398,1999,6
1874,-2.8,-0.94,0,0.0066670226,1999,6
1875,-2.78,-0.94,0,0.002642058,1999,6
1876,-2.76,-0.94,0,0.0027310373,1999,6
1877,-2.74,-0.94,0,0.0035888765,1999,6
1878,-2.72,-0.94,0,0.005660038,1999,6
1879,-2.7,-0.94,0,0.005656663,1999,6
1880,-2.68,-0.94,0,0.0041326275,1999,6
1881,-2.66,-0.94,0,0.003094126,1999,6
1882,-2.64,-0.94,0,0.004840532,1999,6
1883,-2.62,-0.94,0,0.0054049753,1999,6
1884,-2.6,-0.94,0,0.0053622737,1999,6
1885,-2.58,-0.94,0,0.014946207,1999,6
1886,-2.56,-0.94,0,0.029243812,1999,6
1887,-2.54,-0.94,0,0.012841095,1999,6
1888,-2.52,-0.94,0,0.0023594238,1999,6
2016,-2.84,-0.92,0,0.0026290342,1999,6
2017,-2.82,-0.92,0,0.0030091412,1999,6
2018,-2.8,-0.92,0,0.004328149,1999,6
2019,-2.78,-0.92,0,0.0043496424,1999,6
2020,-2.76,-0.92,0,0.0024086642,1999,6
2021,-2.74,-0.92,0,0.003509417,1999,6
2022,-2.72,-0.92,0,0.00456576,1999,6
2023,-2.7,-0.92,0,0.0061845724,1999,6
2024,-2.68,-0.92,0,0.0067517366,1999,6
2025,-2.66,-0.92,0,0.0036992037,1999,6
2026,-2.64,-0.92,0,0.003783984,1999,6
2027,-2.62,-0.92,0,0.004823772,1999,6
2028,-2.6,-0.92,0,0.0057874783,1999,6
2029,-2.58,-0.92,0,0.005592757,1999,6
2030,-2.56,-0.92,0,0.018153965,1999,6
2031,-2.54,-0.92,0,0.022593802,1999,6
